Time - Force	Amplitude - Force
641,2m	-0,1
641,8m	-0,1
642,4m	-0,1
643,0m	-0,1
643,6m	-0,1
644,2m	-0,1
644,8m	-0,1
645,4m	-0,1
646,0m	-0,1
646,6m	-0,1
647,2m	-0,1
647,9m	-0,1
648,5m	-0,1
649,1m	-0,1
649,7m	-0,1
650,3m	-0,1
650,9m	-0,1
651,5m	-0,1
652,1m	-0,1
652,7m	-0,1
653,3m	-0,1
653,9m	-0,1
654,5m	-0,1
655,1m	-0,1
655,7m	-0,1
656,3m	-0,1
656,9m	-0,1
657,5m	-0,1
658,1m	-0,1
658,7m	-0,1
659,4m	-0,1
660,0m	-0,1
660,6m	-0,1
661,2m	-0,1
661,8m	-0,1
662,4m	-0,1
663,0m	-0,1
663,6m	-0,1
664,2m	-0,1
664,8m	-0,1
665,4m	-0,1
666,0m	-0,1
666,6m	-0,1
667,2m	-0,1
667,8m	-0,1
668,4m	-0,1
669,0m	-0,1
669,6m	-0,1
670,3m	-0,1
670,9m	-0,1
671,5m	-0,1
672,1m	-0,1
672,7m	-0,1
673,3m	-0,1
673,9m	-0,1
674,5m	-0,1
675,1m	-0,1
675,7m	-0,1
676,3m	-0,1
676,9m	-0,1
677,5m	-0,1
678,1m	-0,1
678,7m	-0,1
679,3m	-0,1
679,9m	-0,1
680,5m	-0,1
681,2m	-0,1
681,8m	-0,1
682,4m	-0,1
683,0m	-0,1
683,6m	-0,1
684,2m	-0,1
684,8m	-0,1
685,4m	-0,1
686,0m	-0,1
686,6m	-0,1
687,2m	-0,1
687,8m	-0,1
688,4m	-0,1
689,0m	-0,1
689,6m	-0,1
690,2m	-0,1
690,8m	-0,1
691,4m	-0,1
692,1m	-0,1
692,7m	-0,1
693,3m	-0,1
693,9m	-0,1
694,5m	-0,1
695,1m	-0,1
695,7m	-0,1
696,3m	-0,1
696,9m	-0,1
697,5m	-0,1
698,1m	-0,1
698,7m	-0,1
699,3m	-0,1
699,9m	-0,1
700,5m	-0,1
701,1m	-0,1
701,7m	-0,1
702,3m	-0,1
702,9m	-0,1
703,6m	-0,1
704,2m	-0,1
704,8m	-0,1
705,4m	-0,1
706,0m	-0,1
706,6m	-0,1
707,2m	-0,1
707,8m	-0,1
708,4m	-0,1
709,0m	-0,1
709,6m	-0,1
710,2m	-0,1
710,8m	-0,1
711,4m	-0,1
712,0m	-0,1
712,6m	-0,1
713,2m	-0,1
713,8m	-0,1
714,5m	-0,1
715,1m	-0,1
715,7m	-0,1
716,3m	-0,1
716,9m	-0,1
717,5m	-0,1
718,1m	-0,1
718,7m	-0,1
719,3m	-0,1
719,9m	-0,1
720,5m	-0,1
721,1m	-0,1
721,7m	-0,1
722,3m	-0,1
722,9m	-0,1
723,5m	-0,1
724,1m	-0,1
724,7m	-0,1
725,4m	-0,1
726,0m	-0,1
726,6m	-0,1
727,2m	-0,1
727,8m	-0,1
728,4m	-0,1
729,0m	-0,1
729,6m	-0,1
730,2m	-0,1
730,8m	-0,1
731,4m	-0,1
732,0m	-0,1
732,6m	-0,1
733,2m	-0,1
733,8m	-0,1
734,4m	-0,1
735,0m	-0,1
735,6m	-0,1
736,2m	-0,1
736,9m	-0,1
737,5m	-0,1
738,1m	-0,1
738,7m	-0,1
739,3m	-0,1
739,9m	-0,1
740,5m	-0,1
741,1m	-0,1
741,7m	-0,1
742,3m	-0,1
742,9m	-0,1
